Nivel,NOMBRE,Year,SEMANA_REGISTRO,No requiere,Por supervisor,Por CCMC,Year_Semana
DISTRITO,TLALNEPANTLA,2022,21,0,0,1,2022-21
DISTRITO,TLALPAN,2022,19,0,0,1,2022-19
DISTRITO,TLALPAN,2022,20,2,1,0,2022-20
DISTRITO,TLALPAN,2022,21,3,0,0,2022-21
DISTRITO,TOL LERMA SAN MATEO,2022,19,4,1,0,2022-19
DISTRITO,TOL LERMA SAN MATEO,2022,20,9,1,0,2022-20
DISTRITO,TOL LERMA SAN MATEO,2022,21,10,1,0,2022-21
DISTRITO,TOL METEPEC,2022,19,2,0,0,2022-19
DISTRITO,TOL METEPEC,2022,20,3,0,0,2022-20
DISTRITO,TOL METEPEC,2022,21,4,0,0,2022-21
DISTRITO,TOL SAN CARLOS,2022,19,4,0,0,2022-19
DISTRITO,TOL SAN CARLOS,2022,20,0,0,1,2022-20
DISTRITO,TOL SAN CARLOS,2022,21,1,0,1,2022-21
DISTRITO,TULTEPEC,2022,19,2,0,0,2022-19
DISTRITO,TULTEPEC,2022,20,3,3,1,2022-20
DISTRITO,TULTEPEC,2022,21,5,0,1,2022-21
DISTRITO,TULTITLAN,2022,19,4,0,0,2022-19
DISTRITO,TULTITLAN,2022,20,8,0,0,2022-20
DISTRITO,TULTITLAN,2022,21,5,0,0,2022-21
DISTRITO,TUXTLA,2022,19,1,0,0,2022-19
DISTRITO,TUXTLA,2022,20,2,0,0,2022-20
DISTRITO,TUXTLA,2022,21,6,0,0,2022-21
DISTRITO,VERACRUZ,2022,19,11,0,2,2022-19
DISTRITO,VERACRUZ,2022,20,7,0,6,2022-20
DISTRITO,VERACRUZ,2022,21,13,0,0,2022-21
DISTRITO,VILLAHERMOSA,2022,19,4,0,0,2022-19
DISTRITO,VILLAHERMOSA,2022,20,5,0,0,2022-20
DISTRITO,VILLAHERMOSA,2022,21,3,0,0,2022-21
DISTRITO,XALAPA,2022,19,4,0,0,2022-19
DISTRITO,XALAPA,2022,20,4,0,0,2022-20
DISTRITO,XALAPA,2022,21,5,0,0,2022-21
DISTRITO,XOCHIMILCO,2022,19,5,0,4,2022-19
DISTRITO,XOCHIMILCO,2022,20,7,0,0,2022-20
DISTRITO,XOCHIMILCO,2022,21,6,0,3,2022-21
