DIRECCION,Fecha_Descarga,CDD,ADDON,Soportes,Instalaciones,Recolecciones
NORTE-NORESTE,13/09/2021,1508,1906,1043,2680,2703
NORTE-NORESTE,14/09/2021,1484,1946,1098,2915,2687
NORTE-NORESTE,15/09/2021,1432,1964,1104,3001,2771
NORTE-NORESTE,16/09/2021,1458,2001,1063,2985,2762
NORTE-NORESTE,17/09/2021,1475,2092,916,2883,2844
NORTE-NORESTE,18/09/2021,1537,2138,949,2998,2877
NORTE-NORESTE,19/09/2021,1515,2117,814,2687,2886
NORTE-NORESTE,20/09/2021,1468,2055,719,2354,2909
NORTE-NORESTE,21/09/2021,1487,2104,877,2659,2978
NORTE-NORESTE,22/09/2021,1487,2142,977,2681,3065
NORTE-NORESTE,23/09/2021,1327,2209,1021,2788,3157
NORTE-NORESTE,24/09/2021,1195,2203,1261,2873,3252
NORTE-NORESTE,25/09/2021,1103,2201,1258,2972,3294
NORTE-NORESTE,26/09/2021,1062,2195,1091,2627,3349
NORTE-NORESTE,27/09/2021,1034,2202,1062,2242,3347
NORTE-NORESTE,28/09/2021,1006,2254,1189,2544,3405
NORTE-NORESTE,29/09/2021,1020,2286,1162,2852,3476
NORTE-NORESTE,30/09/2021,1028,2332,1189,3114,3570
NORTE-NORESTE,01/10/2021,995,2393,1310,3079,3662
NORTE-NORESTE,02/10/2021,1012,2373,1400,3040,3709
NORTE-NORESTE,03/10/2021,1021,2411,1268,2804,3671
NORTE-NORESTE,04/10/2021,970,2414,1005,2394,3697
NORTE-NORESTE,05/10/2021,992,2418,1047,2330,3796
NORTE-NORESTE,06/10/2021,870,2429,1230,2619,3867
NORTE-NORESTE,07/10/2021,754,2514,1249,2828,3932
NORTE-NORESTE,08/10/2021,668,2524,1274,2875,3930
NORTE-NORESTE,09/10/2021,639,2539,1224,2984,4038
NORTE-NORESTE,10/10/2021,608,2505,1075,2613,4067
NORTE-NORESTE,11/10/2021,585,2500,1077,2108,4112
NORTE-NORESTE,12/10/2021,636,2458,1182,2324,4114
NORTE-NORESTE,13/10/2021,598,2017,1349,2463,4121
NORTE-NORESTE,14/10/2021,610,1953,1440,2599,4193
NORTE-NORESTE,15/10/2021,544,1997,1433,2741,4186
NORTE-NORESTE,16/10/2021,560,2071,1414,2785,4312
NORTE-NORESTE,17/10/2021,569,2111,1315,2516,4183
NORTE-NORESTE,18/10/2021,562,2090,1092,2167,4167
NORTE-NORESTE,19/10/2021,575,2094,1172,2385,4153
NORTE-NORESTE,20/10/2021,538,1805,1124,2625,4239
NORTE-NORESTE,21/10/2021,543,1741,1063,2683,4301
NORTE-NORESTE,22/10/2021,536,1667,960,2688,4325
NORTE-NORESTE,23/10/2021,534,1699,946,2604,4369
NORTE-NORESTE,24/10/2021,482,1658,837,2150,4397
NORTE-NORESTE,25/10/2021,443,1627,750,1911,4391
NORTE-NORESTE,26/10/2021,517,1597,859,2104,4324
NORTE-NORESTE,27/10/2021,563,1579,1017,2287,4398
NORTE-NORESTE,28/10/2021,555,1621,1038,2402,4436
NORTE-NORESTE,29/10/2021,535,1525,1038,2552,4334
NORTE-NORESTE,30/10/2021,570,1484,1000,2374,4391
NORTE-NORESTE,31/10/2021,579,1492,869,1993,4439
NORTE-NORESTE,01/11/2021,563,1441,738,1387,4429
NORTE-NORESTE,02/11/2021,588,1399,903,1679,4428
NORTE-NORESTE,03/11/2021,584,1409,922,1754,4398
NORTE-NORESTE,04/11/2021,594,1421,894,1883,4409
NORTE-NORESTE,05/11/2021,578,1396,1012,2106,4425
NORTE-NORESTE,06/11/2021,546,1314,646,2185,4399
NORTE-NORESTE,07/11/2021,520,1322,820,1872,4380
NORTE-NORESTE,08/11/2021,488,1246,670,1372,4366
NORTE-NORESTE,09/11/2021,480,1115,800,1825,4207
NORTE-NORESTE,10/11/2021,495,1079,1007,2011,4196
NORTE-NORESTE,11/11/2021,524,1114,927,2154,4118
NORTE-NORESTE,12/11/2021,511,1162,878,2508,4065
NORTE-NORESTE,13/11/2021,525,1109,965,2406,4033
NORTE-NORESTE,14/11/2021,534,1185,896,2186,4092
NORTE-NORESTE,15/11/2021,532,1195,815,1905,4097
NORTE-NORESTE,16/11/2021,553,1321,852,2078,4096
NORTE-NORESTE,17/11/2021,565,1420,966,2169,4155
NORTE-NORESTE,18/11/2021,588,1637,1027,2171,4250
NORTE-NORESTE,19/11/2021,622,1723,901,2174,3754
