Tipo,DIRECCION,Mes,�rdenes completas Soportes,Ticket Repetido,PorcentajeTR
DISTRITO,MTY MITRAS,4,1922,302,0.157127992
DISTRITO,MTY SANTA LUCIA,1,2050,258,0.125853659
DISTRITO,MTY SANTA LUCIA,2,1851,234,0.126418152
DISTRITO,MTY SANTA LUCIA,3,2055,246,0.119708029
DISTRITO,MTY SANTA LUCIA,4,2407,320,0.132945575
DISTRITO,MTY SENDERO DIVISORIO,1,1690,206,0.121893491
DISTRITO,MTY SENDERO DIVISORIO,2,1422,164,0.11533052
DISTRITO,MTY SENDERO DIVISORIO,3,1623,166,0.102279729
DISTRITO,MTY SENDERO DIVISORIO,4,2048,279,0.136230469
DISTRITO,MTY SIERRA MADRE,1,1542,273,0.177042802
DISTRITO,MTY SIERRA MADRE,2,1251,153,0.122302158
DISTRITO,MTY SIERRA MADRE,3,1247,139,0.111467522
DISTRITO,MTY SIERRA MADRE,4,1505,208,0.13820598
DISTRITO,NAUCALPAN,1,580,51,0.087931034
DISTRITO,NAUCALPAN,2,572,58,0.101398601
DISTRITO,NAUCALPAN,3,666,35,0.052552553
DISTRITO,NAUCALPAN,4,606,30,0.04950495
DISTRITO,NEZA 1,1,1358,70,0.051546392
DISTRITO,NEZA 1,2,1307,74,0.05661821
DISTRITO,NEZA 1,3,1500,88,0.058666667
DISTRITO,NEZA 1,4,1492,89,0.059651475
DISTRITO,NEZA 2,1,1504,123,0.081781915
DISTRITO,NEZA 2,2,1409,103,0.07310149
DISTRITO,NEZA 2,3,1436,93,0.064763231
DISTRITO,NEZA 2,4,1577,103,0.065313887
DISTRITO,NICOLAS ROMERO,1,1125,108,0.096
DISTRITO,NICOLAS ROMERO,2,1139,85,0.074626866
DISTRITO,NICOLAS ROMERO,3,1169,106,0.090675791
DISTRITO,NICOLAS ROMERO,4,1165,93,0.079828326
DISTRITO,OJO DE AGUA,1,518,43,0.083011583
DISTRITO,OJO DE AGUA,2,517,35,0.067698259
DISTRITO,OJO DE AGUA,3,517,47,0.090909091
DISTRITO,OJO DE AGUA,4,533,44,0.082551595
DISTRITO,PACHUCA,1,1453,103,0.070887818
DISTRITO,PACHUCA,2,1387,83,0.059841384
DISTRITO,PACHUCA,3,1487,101,0.067921991
DISTRITO,PACHUCA,4,1525,102,0.066885246
DISTRITO,PEDREGAL,1,1095,83,0.075799087
DISTRITO,PEDREGAL,2,1246,97,0.077849117
DISTRITO,PEDREGAL,3,1230,87,0.070731707
DISTRITO,PEDREGAL,4,1239,94,0.075867635
DISTRITO,PIEDRAS NEGRAS / MONCLOVA,4,11,2,0.181818182
DISTRITO,POLANCO,1,766,106,0.138381201
DISTRITO,POLANCO,2,793,97,0.122320303
DISTRITO,POLANCO,3,908,84,0.092511013
DISTRITO,POLANCO,4,857,93,0.108518086
DISTRITO,PORTALES,1,1712,146,0.085280374
DISTRITO,PORTALES,2,1385,127,0.091696751
DISTRITO,PORTALES,3,1639,140,0.085417938
DISTRITO,PORTALES,4,1866,154,0.082529475
