Fecha,Distrito,Incumplimientos
18/11/2023,TLALPAN,19
19/11/2023,TLALPAN,15
20/11/2023,TLALPAN,21
21/11/2023,TLALPAN,38
22/11/2023,TLALPAN,19
23/11/2023,TLALPAN,20
24/11/2023,TLALPAN,17
25/11/2023,TLALPAN,13
26/11/2023,TLALPAN,10
27/11/2023,TLALPAN,11
28/11/2023,TLALPAN,6
29/11/2023,TLALPAN,7
30/11/2023,TLALPAN,7
01/12/2023,TLALPAN,7
02/12/2023,TLALPAN,10
03/12/2023,TLALPAN,9
04/12/2023,TLALPAN,15
05/12/2023,TLALPAN,13
06/12/2023,TLALPAN,7
07/12/2023,TLALPAN,7
08/12/2023,TLALPAN,2
09/12/2023,TLALPAN,1
10/12/2023,TLALPAN,3
11/12/2023,TLALPAN,2
12/12/2023,TLALPAN,4
13/12/2023,TLALPAN,2
14/12/2023,TLALPAN,5
15/12/2023,TLALPAN,10
16/12/2023,TLALPAN,2
17/12/2023,TLALPAN,0
18/12/2023,TLALPAN,6
19/12/2023,TLALPAN,13
20/12/2023,TLALPAN,6
21/12/2023,TLALPAN,4
22/12/2023,TLALPAN,4
23/12/2023,TLALPAN,1
